,Department code,Department,Constituency code,Constituency,Commune code,Commune,Polling station,Registered,Abstentions,% Abs/Reg,Voters,% Vot/Reg,None of the above(NOTA),% NOTA/Reg,% NOTA/Vot,Nulls,% Nulls/Reg,% Nulls/Vot,Expressed,% Exp/Reg,% Exp/Vot,Signboard,Sex,Surname,First name,Voted,% Votes/Reg,% Votes/Exp,INSEE code,Coordinates,Polling station name,Address,Postal code,City,Poll.St.-unique
0,3,Allier,2,2ème circonscription,314,Villebret,0001,1037,179,17.26,858,82.74,22,2.12,2.56,0,0.0,0.0,836,80.62,97.44,11,M,FILLON,François,136,13.11,16.27,3314,"46.264816, 2.639979",Salle polyvalente,"58, rue de la Guette",3310.0,Villebret,Salle polyvalente -  Villebret
1,3,Allier,2,2ème circonscription,315,Villefranche-d'Allier,0001,938,182,19.4,756,80.6,15,1.6,1.98,14,1.49,1.85,727,77.51,96.16,3,M,MACRON,Emmanuel,132,14.07,18.16,3315,"46.397022, 2.856756",Centre Espace,Rue des Fossés,3430.0,Villefranche-d'Allier,Centre Espace -  Villefranche-d'Allier
2,3,Allier,1,1ère circonscription,316,Villeneuve-sur-Allier,0001,727,146,20.08,581,79.92,13,1.79,2.24,7,0.96,1.2,561,77.17,96.56,5,F,ARTHAUD,Nathalie,8,1.1,1.43,3316,"46.660699, 3.246925",Mairie - salle de réunion,"57, route de Paris",3460.0,Villeneuve-sur-Allier,Mairie - salle de réunion -  Villeneuve-sur-Allier
3,3,Allier,2,2ème circonscription,317,Viplaix,0001,280,69,24.64,211,75.36,5,1.79,2.37,1,0.36,0.47,205,73.21,97.16,10,M,ASSELINEAU,François,2,0.71,0.98,3317,"46.470818, 2.402489",Mairie,Le bourg,3370.0,Viplaix,Mairie -  Viplaix
4,3,Allier,1,1ère circonscription,321,Yzeure,0002,666,127,19.07,539,80.93,10,1.5,1.86,5,0.75,0.93,524,78.68,97.22,6,M,POUTOU,Philippe,6,0.9,1.15,3321,"46.565402, 3.354408",Ecole Louise Michel,Place de Bendorf,3400.0,Yzeure,Ecole Louise Michel -  Yzeure
5,3,Allier,1,1ère circonscription,321,Yzeure,0002,666,127,19.07,539,80.93,10,1.5,1.86,5,0.75,0.93,524,78.68,97.22,8,M,LASSALLE,Jean,5,0.75,0.95,3321,"46.565402, 3.354408",Ecole Louise Michel,Place de Bendorf,3400.0,Yzeure,Ecole Louise Michel -  Yzeure
6,3,Allier,1,1ère circonscription,321,Yzeure,0002,666,127,19.07,539,80.93,10,1.5,1.86,5,0.75,0.93,524,78.68,97.22,9,M,MÉLENCHON,Jean-Luc,111,16.67,21.18,3321,"46.565402, 3.354408",Ecole Louise Michel,Place de Bendorf,3400.0,Yzeure,Ecole Louise Michel -  Yzeure
7,3,Allier,1,1ère circonscription,321,Yzeure,0011,822,148,18.0,674,82.0,14,1.7,2.08,12,1.46,1.78,648,78.83,96.14,10,M,ASSELINEAU,François,2,0.24,0.31,3321,"46.553638, 3.360054",Ysatis,Boulevard Jean Moulin,3400.0,Yzeure,Ysatis -  Yzeure
8,3,Allier,1,1ère circonscription,321,Yzeure,0012,939,157,16.72,782,83.28,15,1.6,1.92,15,1.6,1.92,752,80.09,96.16,4,M,HAMON,Benoît,55,5.86,7.31,3321,"46.553638, 3.360054",Ysatis,Boulevard Jean Moulin,3400.0,Yzeure,Ysatis -  Yzeure
9,4,Alpes-de-Haute-Provence,1,1ère circonscription,1,Aiglun,0001,896,116,12.95,780,87.05,10,1.12,1.28,9,1.0,1.15,761,84.93,97.56,2,F,LE PEN,Marine,186,20.76,24.44,4001,"44.051031, 6.144",Mairie,,4510.0,Aiglun,Mairie -  Aiglun
10,4,Alpes-de-Haute-Provence,1,1ère circonscription,5,Allons,0001,106,10,9.43,96,90.57,3,2.83,3.13,2,1.89,2.08,91,85.85,94.79,3,M,MACRON,Emmanuel,22,20.75,24.18,4005,"43.976504, 6.594639",Mairie,,4170.0,Allons,Mairie -  Allons
